"","average_power_resect","std_err_resect","average_power_soz","std_err_soz","average_power_other","other_std_err","time"
"1",56264115448.9044,32908927299.663,56264115448.9044,32908927299.663,53455851.2732095,332709051.178908,1.25
"2",81804373705.4718,46235378531.9173,81804373705.4718,46235378531.9173,386708239.891752,471468674.126456,1.75
"3",83764359994.353,44971798674.0258,83764359994.353,44971798674.0258,650608096.968231,511742755.250209,2.25
"4",74908657574.7845,39781002270.2051,74908657574.7845,39781002270.2051,1475789702.55609,602107254.177986,2.75
"5",54009791145.3519,23604996826.0446,54009791145.3519,23604996826.0446,2915825455.95048,1206185091.61505,3.25
"6",22115052405.9065,5641560994.64495,22115052405.9065,5641560994.64495,4405768149.13623,1884295026.21358,3.75
"7",28638846161.4128,7078096946.56479,28638846161.4128,7078096946.56479,6933568110.16429,2476564059.19542,4.25
"8",35480255221.1813,8428156713.83791,35480255221.1813,8428156713.83791,10399945011.1824,3195368661.08042,4.75
"9",43110870022.5656,12162295392.2268,43110870022.5656,12162295392.2268,13123868736.2585,4168123933.01324,5.25
"10",50440243787.679,17599206152.5512,50440243787.679,17599206152.5512,13041743120.946,4039411829.2672,5.75
"11",48366547200.7817,17266629648.1612,48366547200.7817,17266629648.1612,11649469677.8122,3645418366.88376,6.25
"12",34802909595.8046,13696020011.1986,34802909595.8046,13696020011.1986,7446479930.88915,2946077616.89903,6.75
"13",26867420766.4645,9912101842.59967,26867420766.4645,9912101842.59967,5796195379.198,2264971487.25626,7.25
"14",16329314498.0179,5742632071.3167,16329314498.0179,5742632071.3167,4137452823.17661,1110209429.42658,7.75
"15",10847598878.1288,3732653756.64001,10847598878.1288,3732653756.64001,3721234213.73076,841355351.111156,8.25
"16",5047317912.42966,1972780780.60756,5047317912.42966,1972780780.60756,4748241127.10757,1006739724.2458,8.75
"17",1622510213.068,1673974434.83386,1622510213.068,1673974434.83386,6014847491.82576,1139375868.13899,9.25
"18",-20370573.5187243,1331815116.20701,-20370573.5187243,1331815116.20701,5288621001.94782,1003389134.97389,9.75
"19",-1233052475.90047,1234456269.92984,-1233052475.90047,1234456269.92984,4832590003.47541,1057437674.79018,10.25
"20",-937701462.655992,1320249874.7839,-937701462.655992,1320249874.7839,4593155964.64418,835072273.189146,10.75
"21",2116205434.16181,2386912413.1438,2116205434.16181,2386912413.1438,5848727859.39994,909271498.921559,11.25
"22",6437156569.83093,4533377932.89379,6437156569.83093,4533377932.89379,8315162908.91292,1348461730.03869,11.75
"23",7726379345.78633,5094868769.71177,7726379345.78633,5094868769.71177,10199936371.3201,1657676867.80722,12.25
"24",23241945748.2663,13267284073.5432,23241945748.2663,13267284073.5432,16579986476.8817,5080175969.60257,12.75
"25",107122157905.614,77332841128.0514,107122157905.614,77332841128.0514,17623569981.2417,5620765261.31995,13.25
"26",137045481881.693,83031825830.9718,137045481881.693,83031825830.9718,19194814056.0005,7039173783.30446,13.75
"27",150889000367.806,95973214502.1264,150889000367.806,95973214502.1264,23987786198.2597,7869949779.42894,14.25
"28",160678899303.158,105557456935.237,160678899303.158,105557456935.237,21282869392.9695,4512931842.93272,14.75
"29",79745261781.0612,58855807156.3148,79745261781.0612,58855807156.3148,22159620414.1039,4795530288.49025,15.25
"30",47810873825.5142,28598188272.2324,47810873825.5142,28598188272.2324,25124709352.5853,6086103447.35948,15.75
"31",26487085799.2264,13732295830.5272,26487085799.2264,13732295830.5272,23689953854.7359,5120563427.19685,16.25
"32",18842529444.4293,9544785447.1664,18842529444.4293,9544785447.1664,22625813276.1209,4219053284.53901,16.75
"33",11228295535.437,6072103805.00888,11228295535.437,6072103805.00888,17764305443.5468,3064261353.8194,17.25
"34",6559147951.51682,3970508859.47086,6559147951.51682,3970508859.47086,14605151698.931,2550266517.17263,17.75
"35",1731282037.03019,2658401161.81409,1731282037.03019,2658401161.81409,10804805936.6977,1845891154.67147,18.25
"36",35732135316.2993,21380517516.5556,35732135316.2993,21380517516.5556,75182082162.822,23700416140.7462,18.75
